log N,time,self.uav_coord[0],self.uav_coord[1],self.gcs_coord[0],self.gcs_coord[1],self.uav_alt,self.gcs_alt,self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.uav_heading,self.gcs_heading,self.uav_vel[0],self.uav_vel[1],self.uav_vel[2],self.gcs_vel[0],self.gcs_vel[1],self.gcs_vel[2],self.uav_pose[0],self.uav_pose[1],self.uav_pose[2],self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.goal_mode,self.L, roll_cmd,pitch_cmd,yaw_cmd,thr_cmd,self.voltage,self.current  
1,0,43.684268,-72.233279,43.684343,-72.233328,-0.340000,-2.080000,1.570000,0.000000,10.000000,-0.314897,0.870263,0.190000,-0.180000,0.020000,-0.010000,-0.090000,0.000000,1.384545,1.311124,9.396456,1.570000,0.000000,10.000000,0.000000,0.000000,-0.163477,0.093540,-0.440861,0.337134,22.276000,0.027000 
2,0,43.684268,-72.233279,43.684342,-72.233330,-0.340000,-2.030000,1.570000,0.000000,10.000000,-0.314897,0.869584,0.190000,-0.180000,0.020000,0.020000,-0.010000,0.000000,1.388790,1.326701,9.336856,1.570000,0.000000,10.000000,0.000000,0.000000,-0.067229,0.037698,-0.457117,0.422833,22.297000,0.041000 
3,0,43.684268,-72.233279,43.684342,-72.233330,-0.340000,-2.030000,1.570000,0.000000,10.000000,-0.314897,0.869584,0.190000,-0.180000,0.020000,0.020000,-0.010000,0.000000,1.388790,1.326701,9.336856,1.570000,0.000000,10.000000,0.000000,0.000000,-0.065231,0.035084,-0.457117,0.419802,22.297000,0.041000 
4,0,43.684268,-72.233279,43.684342,-72.233330,-0.340000,-2.030000,1.570000,0.000000,10.000000,-0.315394,0.869584,0.200000,-0.200000,0.020000,0.020000,-0.010000,0.000000,1.388665,1.328022,9.330541,1.570000,0.000000,10.000000,0.000000,0.000000,-0.065272,0.035609,-0.458438,0.419889,22.297000,0.041000 
5,0,43.684268,-72.233279,43.684341,-72.233329,-0.340000,-2.040000,1.570000,0.000000,10.000000,-0.315394,0.869649,0.200000,-0.200000,0.020000,-0.020000,0.010000,0.000000,1.385147,1.327947,9.209842,1.570000,0.000000,10.000000,0.000000,0.000000,-0.071571,0.045616,-0.458298,0.420582,22.297000,0.041000 
6,0,43.684268,-72.233279,43.684341,-72.233329,-0.340000,-2.040000,1.570000,0.000000,10.000000,-0.315394,0.869649,0.200000,-0.200000,0.020000,-0.020000,0.010000,0.000000,1.385147,1.327947,9.209842,1.570000,0.000000,10.000000,0.000000,0.000000,-0.067214,0.038968,-0.458298,0.419985,22.312000,0.038000 
7,0,43.684268,-72.233279,43.684341,-72.233329,-0.340000,-2.040000,1.570000,0.000000,10.000000,-0.315394,0.869649,0.200000,-0.200000,0.020000,-0.020000,0.010000,0.000000,1.385147,1.327947,9.209842,1.570000,0.000000,10.000000,0.000000,0.000000,-0.067214,0.038968,-0.458298,0.419985,22.312000,0.038000 
8,0,43.684268,-72.233279,43.684340,-72.233328,-0.330000,-2.030000,1.570000,0.000000,10.000000,-0.315820,0.869649,0.210000,-0.210000,0.020000,-0.010000,0.010000,0.000000,1.382820,1.327253,9.097184,1.570000,0.000000,10.000000,0.000000,0.000000,-0.073175,0.048289,-0.457604,0.421613,22.312000,0.038000 
9,0,43.684268,-72.233279,43.684340,-72.233328,-0.330000,-2.030000,1.570000,0.000000,10.000000,-0.315820,0.869649,0.210000,-0.210000,0.020000,-0.010000,0.010000,0.000000,1.382820,1.327253,9.097184,1.570000,0.000000,10.000000,0.000000,0.000000,-0.069250,0.042215,-0.457604,0.420577,22.312000,0.038000 
10,0,43.684268,-72.233279,43.684340,-72.233328,-0.330000,-2.030000,1.570000,0.000000,10.000000,-0.316215,0.869649,0.230000,-0.220000,0.010000,-0.010000,0.010000,0.000000,1.382688,1.328611,9.090882,1.570000,0.000000,10.000000,0.000000,0.000000,-0.069303,0.042737,-0.458962,0.420669,22.345000,0.034000 
