log N,time,self.uav_coord[0],self.uav_coord[1],self.gcs_coord[0],self.gcs_coord[1],self.uav_alt,self.gcs_alt,self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.uav_heading,self.gcs_heading,self.uav_vel[0],self.uav_vel[1],self.uav_vel[2],self.gcs_vel[0],self.gcs_vel[1],self.gcs_vel[2],self.uav_pose[0],self.uav_pose[1],self.uav_pose[2],self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.goal_mode,self.L, roll_cmd,pitch_cmd,yaw_cmd,thr_cmd,self.voltage,self.current  
1,0,43.684333,-72.233409,43.684301,-72.233280,0.010000,0.060000,1.570000,0.000000,10.000000,2.555107,1.474232,0.000000,0.000000,-0.020000,0.010000,0.010000,0.000000,1.575364,-0.421247,10.945418,1.570000,0.000000,10.000000,0.000000,0.000000,0.368721,-0.071675,1.895479,0.506195,22.318000,0.038000 
2,0,43.684332,-72.233409,43.684300,-72.233280,0.010000,0.080000,1.570000,0.000000,10.000000,2.556120,1.474232,0.000000,0.000000,-0.020000,-0.020000,0.010000,0.000000,1.577181,-0.421740,10.964318,1.570000,0.000000,10.000000,0.000000,0.000000,0.192416,-0.025368,1.895972,0.505097,22.283000,0.029000 
3,0,43.684332,-72.233409,43.684300,-72.233280,0.010000,0.080000,1.570000,0.000000,10.000000,2.556120,1.474232,0.000000,0.000000,-0.030000,-0.020000,0.010000,0.000000,1.577181,-0.421740,10.964318,1.570000,0.000000,10.000000,0.000000,0.000000,0.192096,-0.024442,1.895972,0.504090,22.300000,0.048000 
4,0,43.684332,-72.233409,43.684300,-72.233280,0.010000,0.080000,1.570000,0.000000,10.000000,2.556515,1.474232,0.000000,0.000000,-0.020000,-0.020000,0.010000,0.000000,1.577181,-0.421740,10.964318,1.570000,0.000000,10.000000,0.000000,0.000000,0.192096,-0.024442,1.895972,0.504090,22.300000,0.048000 
5,0,43.684332,-72.233409,43.684300,-72.233280,0.010000,0.080000,1.570000,0.000000,10.000000,2.556515,1.474232,0.000000,0.000000,-0.020000,-0.020000,0.010000,0.000000,1.577181,-0.421740,10.964318,1.570000,0.000000,10.000000,0.000000,0.000000,0.192096,-0.024442,1.895972,0.504090,22.300000,0.048000 
6,0,43.684331,-72.233409,43.684299,-72.233280,0.010000,0.080000,1.570000,0.000000,10.000000,2.556515,1.474092,0.000000,0.000000,-0.030000,-0.020000,0.010000,0.010000,1.577166,-0.430744,10.989102,1.570000,0.000000,10.000000,0.000000,0.000000,0.199262,-0.026327,1.904836,0.504104,22.268000,0.040000 
7,0,43.684331,-72.233409,43.684299,-72.233280,0.010000,0.080000,1.570000,0.000000,10.000000,2.556612,1.474092,0.000000,0.000000,-0.030000,-0.020000,0.010000,0.010000,1.577166,-0.430744,10.989102,1.570000,0.000000,10.000000,0.000000,0.000000,0.194902,-0.025070,1.904836,0.504095,22.268000,0.040000 
8,0,43.684331,-72.233409,43.684299,-72.233280,0.010000,0.080000,1.570000,0.000000,10.000000,2.556718,1.474092,0.000000,0.000000,-0.030000,-0.020000,0.010000,0.010000,1.577166,-0.430744,10.989102,1.570000,0.000000,10.000000,0.000000,0.000000,0.194902,-0.025070,1.904836,0.504095,22.337000,0.038000 
9,0,43.684331,-72.233409,43.684298,-72.233280,0.010000,0.060000,1.570000,0.000000,10.000000,2.556153,1.473515,0.000000,0.000000,-0.030000,0.000000,-0.010000,0.000000,1.575345,-0.440883,10.991920,1.570000,0.000000,10.000000,0.000000,0.000000,0.202437,-0.025354,1.914397,0.502051,22.241000,0.048000 
10,0,43.684331,-72.233408,43.684298,-72.233280,0.010000,0.060000,1.570000,0.000000,10.000000,2.555245,1.473515,0.000000,0.000000,-0.030000,0.000000,-0.010000,0.000000,1.575361,-0.442119,10.954072,1.570000,0.000000,10.000000,0.000000,0.000000,0.197378,-0.022298,1.915634,0.503035,22.241000,0.048000 
